"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2701","password field masks input","Mobile Safari","2026-07-17","passed","2026-07-17","Login - Page Rendering","","",""
"","2","Submit multiple contests back to back","Mobile Safari","2026-07-17","skipped","2026-07-17","User Enter Contest","","",""
"","3028","Rewards tab routes into /rewards and takes the indicator","Mobile Safari","2026-07-17","passed","2026-07-17","Bottom nav — tab routing & active indicator (DFS-1998)","","",""
"","3601","Buy launches the Repackz opening iframe with a close bar","Mobile Chrome","2026-07-17","passed","2026-07-17","Pack opening iframe (DFS-2087 / DFS-2169)","","",""
"","34447","Logged-in tailer clicks ""Tail this entry"" and submits the same picks","Mobile Safari","2026-07-17","passed","2026-07-17","Slip sharing & tailing","","",""
"","2434","My Settings no longer renders the Player Limits controls","Mobile Chrome","2026-07-17","passed","2026-07-17","My Settings — Player Limits removed (DFS-1855)","","",""
"","2625","Verify user data renders correctly","Mobile Chrome","2026-07-17","passed","2026-07-17","My Settings","","",""
"","5327","a 'See all' link opens a subcategory listing","Mobile Chrome","2026-07-17","passed","2026-07-17","Packs lobby (DFS-2114)","","",""
"","2435","Opens from the burger with title, wallet summary and Deposit CTA","Mobile Chrome","2026-07-17","passed","2026-07-17","Account Center menu (DFS-1667)","","",""
"","25232","Logged-out tailer signs in via the tail link, then auto-tails and submits","Mobile Safari","2026-07-17","passed","2026-07-17","Slip sharing & tailing","","",""
"","0","Claimed offers are non-interactive and sorted below unclaimed offers","Mobile Chrome","2026-07-17","skipped","2026-07-17","Partner Rewards (DFS-1602 / DFS-1604)","","",""
"","2578","renders the Open a Pack catalog with at least one pack tile","Mobile Safari","2026-07-17","passed","2026-07-17","Packs lobby (DFS-2114)","","",""
"","2764","Typing a term narrows the grid without dropping below the results","Mobile Safari","2026-07-17","passed","2026-07-17","Home feed search","","",""
"","5671","login page renders all expected elements","Mobile Safari","2026-07-17","passed","2026-07-17","Login - Page Rendering","","",""
"","3956","shows the pack name, Buy CTA and a back link","Mobile Safari","2026-07-17","passed","2026-07-17","Pack detail (DFS-2114)","","",""
"","5668","Dedicated chevron toggle expands and collapses the card","Mobile Safari","2026-07-17","passed","2026-07-17","My Entries card redesign — read-only","","",""
"","17824","Navigating to last page then switching dropdown resets view and verify data","Mobile Chrome","2026-07-17","passed","2026-07-17","User entries","","",""
"","3008","Only one tab is active at a time and Home restores","Mobile Chrome","2026-07-17","passed","2026-07-17","Bottom nav — tab routing & active indicator (DFS-1998)","","",""
"","600734","Free2Play tab routes to /challenges/mp and takes the indicator","Mobile Chrome","2026-07-17","broken","2026-07-17","Bottom nav — tab routing & active indicator (DFS-1998)","","",""
"","71114","login respects ""next"" query param redirect","Mobile Safari","2026-07-17","passed","2026-07-17","Login - Valid Credentials","","",""
"","5773","Verify History Summary Data","Mobile Chrome","2026-07-17","passed","2026-07-17","User entries","","",""
"","0","Shows partner offer cards, or the empty state when none are available","Mobile Chrome","2026-07-17","skipped","2026-07-17","Partner Rewards (DFS-1602 / DFS-1604)","","",""
"","15415","Five player contest Submission @smoke","Mobile Safari","2026-07-17","passed","2026-07-17","User Enter Contest","","",""
"","2894","forgot password link navigates to password reset","Mobile Chrome","2026-07-17","passed","2026-07-17","Login - Navigation","","",""
"","2566","Groups items under Account, Rewards and Support","Mobile Chrome","2026-07-17","passed","2026-07-17","Account Center menu (DFS-1667)","","",""
"","3958","Tailers pill reads ""<n> tailers | $<reward>"" when an entry has tailers","Mobile Chrome","2026-07-17","skipped","2026-07-17","My Entries card redesign — read-only","","",""
"","3968","user can login with valid email","Mobile Chrome","2026-07-17","passed","2026-07-17","Login - Valid Credentials","","",""
"","3283","login respects ""next"" query param redirect","Mobile Chrome","2026-07-17","passed","2026-07-17","Login - Valid Credentials","","",""
"","4783","pack tiles link to a /packs/pack/<id> detail route","Mobile Chrome","2026-07-17","passed","2026-07-17","Packs lobby (DFS-2114)","","",""
"","12307","Five player contest Submission @smoke","Mobile Chrome","2026-07-17","passed","2026-07-17","User Enter Contest","","",""
"","5623","History cards never render the pick-badge preview","Mobile Chrome","2026-07-17","passed","2026-07-17","My Entries card redesign — read-only","","",""
"","4366","user can login with valid email","Mobile Safari","2026-07-17","passed","2026-07-17","Login - Valid Credentials","","",""
"","24395","buy a pack, RIP it, then accept the buyback","Mobile Safari","2026-07-17","passed","2026-07-17","Packs provider flow (money-moving)","","",""
"","4483","Active card shows the entry amount, payout and Insured/All In multiplier","Mobile Chrome","2026-07-17","passed","2026-07-17","My Entries card redesign — read-only","","",""
"","3532","Switching to the Promotions sub-tab routes to /rewards/promotions","Mobile Safari","2026-07-17","passed","2026-07-17","Partner Rewards (DFS-1602 / DFS-1604)","","",""
"","8139","Verify active tab displays Entry Amount and Max Payout","Mobile Safari","2026-07-17","passed","2026-07-17","User entries","","",""
"","6566","Verify History Summary Data","Mobile Safari","2026-07-17","passed","2026-07-17","User entries","","",""
"","2931","Items route to their destination pages","Mobile Chrome","2026-07-17","passed","2026-07-17","Account Center menu (DFS-1667)","","",""
"","36297","Verify Pagination works","Mobile Safari","2026-07-17","passed","2026-07-17","User entries","","",""
"","4632","Indicator stays under ""Entries"" when toggling Active and History","Mobile Safari","2026-07-17","passed","2026-07-17","Bottom nav — Entries active indicator (DFS-1816)","","",""
"","0","Claimed offers are non-interactive and sorted below unclaimed offers","Mobile Safari","2026-07-17","skipped","2026-07-17","Partner Rewards (DFS-1602 / DFS-1604)","","",""
"","4190","renders the Open a Pack catalog with at least one pack tile","Mobile Chrome","2026-07-17","passed","2026-07-17","Packs lobby (DFS-2114)","","",""
"","13822","Picks Submitted screen exposes the description CTA and opens the editor","Mobile Safari","2026-07-17","passed","2026-07-17","User Enter Contest","","",""
"","2480","Rewards tab routes into /rewards and takes the indicator","Mobile Chrome","2026-07-17","passed","2026-07-17","Bottom nav — tab routing & active indicator (DFS-1998)","","",""
"","3314","Pending Packs row lists 'Open Pack' actions when the user owns open rounds","Mobile Safari","2026-07-17","skipped","2026-07-17","Packs lobby (DFS-2114)","","",""
"","26509","Logged-in tailer clicks ""Tail this entry"" and submits the same picks","Mobile Chrome","2026-07-17","passed","2026-07-17","Slip sharing & tailing","","",""
"","3955","user can login with valid username","Mobile Chrome","2026-07-17","passed","2026-07-17","Login - Valid Credentials","","",""
"","69761","Verify user limit modal","Mobile Safari","2026-07-17","passed","2026-07-17","User limit modal","","",""
"","9763","slip persists through hard page reload","Mobile Chrome","2026-07-17","passed","2026-07-17","Slip persistence","","",""
"","7698","Verify time period switching updates history data","Mobile Safari","2026-07-17","passed","2026-07-17","User entries","","",""
"","51570","cannot login with invalid password","Mobile Chrome","2026-07-17","failed","2026-07-17","Login - Invalid Credentials","","",""
"","0","An available offer exposes an enabled CTA","Mobile Safari","2026-07-17","skipped","2026-07-17","Partner Rewards (DFS-1602 / DFS-1604)","","",""
"","2692","the back link returns to the lobby","Mobile Safari","2026-07-17","passed","2026-07-17","Pack detail (DFS-2114)","","",""
"","29792","Logged-out tailer signs in via the tail link, then auto-tails and submits","Mobile Chrome","2026-07-17","passed","2026-07-17","Slip sharing & tailing","","",""
"","4363","View Leaderboard opens the contest-group leaderboard modal","Mobile Safari","2026-07-17","skipped","2026-07-17","My Entries card redesign — read-only","","",""
"","4498","Verify FG stats selection","Mobile Safari","2026-07-17","passed","2026-07-17","FG Stats","","",""
"","3770","pack tiles link to a /packs/pack/<id> detail route","Mobile Safari","2026-07-17","passed","2026-07-17","Packs lobby (DFS-2114)","","",""
"","4277","Live entries surface a Live indicator","Mobile Safari","2026-07-17","skipped","2026-07-17","My Entries card redesign — read-only","","",""
"","4499","Pending Packs row lists 'Open Pack' actions when the user owns open rounds","Mobile Chrome","2026-07-17","skipped","2026-07-17","Packs lobby (DFS-2114)","","",""
"","2343","Home footer shows the 18+ age badge and no 21+ anywhere","Mobile Chrome","2026-07-17","passed","2026-07-17","Footer age badge — 18+ (UI Release 32)","","",""
"","14192","Share toggle OFF — newly-placed contest does NOT appear on the You tab","Mobile Chrome","2026-07-17","passed","2026-07-17","Tail Feed","","",""
"","2769","unauthenticated user sees Join Now button on home","Mobile Chrome","2026-07-17","passed","2026-07-17","Login - Navigation","","",""
"","2639","Gibberish query shows the empty state, clearing restores the grid","Mobile Chrome","2026-07-17","passed","2026-07-17","Home feed search","","",""
"","7","Submit contest and verify entry amount and max payout getting updated","Mobile Safari","2026-07-17","skipped","2026-07-17","User Enter Contest","","",""
