"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49621","Five player contest Submission @smoke","Mobile Safari","2026-05-15","passed","2026-05-15","User Enter Contest","","",""
"","8","Submit multiple contests back to back","Mobile Chrome","2026-05-15","skipped","2026-05-15","User Enter Contest","","",""
"","2","Submit multiple contests back to back","Mobile Safari","2026-05-15","skipped","2026-05-15","User Enter Contest","","",""
"","14","Submit contest and verify entry amount and max payout getting updated","Mobile Chrome","2026-05-15","skipped","2026-05-15","User Enter Contest","","",""
"","71394","Contest creation and validate in entries section","Mobile Safari","2026-05-15","passed","2026-05-15","User Enter Contest","","",""
"","53886","Submit contest and verify entry amount and max payout getting updated","Mobile Safari","2026-05-15","passed","2026-05-15","User Enter Contest","","",""
"","23532","Five player contest Submission @smoke","Mobile Chrome","2026-05-15","passed","2026-05-15","User Enter Contest","","",""
"","84537","Contest creation and validate in entries section","Mobile Chrome","2026-05-15","passed","2026-05-15","User Enter Contest","","",""
