"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"**Spec:** `auth/login.spec.ts:138`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @auth","39582","Login is rejected with an empty username","Mobile Safari","2026-09-23","passed","2026-09-23","Login - Invalid Credentials","","",""
"**Spec:** `auth/login.spec.ts:62`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @smoke @prod @critical","13640","User can log in with a valid username","Mobile Safari","2026-09-23","passed","2026-09-23","Login - Valid Credentials","","",""
"**Spec:** `entries/entries.spec.ts:147`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @entries @smoke @prod","32037","History summary stats match the API for the 6 Months range","Mobile Safari","2026-09-23","passed","2026-09-23","My Entries - Active and History","","",""
"**Spec:** `data-verification/entries-history.spec.ts:50`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @data-verification @prod","12498","History cards and summary render the history API data","Mobile Chrome","2026-09-23","passed","2026-09-23","Data verification - history entries","","",""
"**Spec:** `contests/user-enter-contest.spec.ts:26`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @contests @mutates @money @smoke @prod @critical @money","77189","Five-pick contest is submitted successfully","Mobile Chrome","2026-09-23","passed","2026-09-23","Contests - Enter Contest","","",""
"**Spec:** `menu/account-center.spec.ts:21`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @menu @prod","41502","Account Center opens from the burger with title, wallet summary and Deposit CTA","Mobile Safari","2026-09-23","passed","2026-09-23","Menu - Account Center","","",""
"**Spec:** `navigation/shell-desktop.spec.ts:22`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @desktop @navigation @prod","38048","Track Picks opens the login modal for a logged-out visitor","Desktop","2026-09-23","passed","2026-09-23","Shell - desktop logged-out top nav","","",""
"**Spec:** `data-verification/search.spec.ts:247`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @data-verification @prod","16499","No-result, minimum-length and clear behaviours","Mobile Chrome","2026-09-23","skipped","2026-09-23","Data verification - feed search","","",""
"**Spec:** `signup/signup.spec.ts:32`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @signup @terms","30935","Header ""Join Now"" opens Terms page","Mobile Safari","2026-09-23","passed","2026-09-23","Signup - Entry Points","","",""
"**Spec:** `signup/signup.spec.ts:213`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @signup @validation","41552","Shows an error when the email is already taken","Mobile Safari","2026-09-23","failed","2026-09-23","Signup - Validation","","",""
"**Spec:** `auth/login-modal-desktop.spec.ts:64`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @desktop @auth @prod","13255","Submitting valid credentials in the modal signs the user in","Desktop","2026-09-23","passed","2026-09-23","Login - Desktop Modal","","",""
"**Spec:** `entries/entry-card.spec.ts:96`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @entries @prod","20902","Dedicated chevron toggle expands and collapses the card","Mobile Chrome","2026-09-23","passed","2026-09-23","My Entries - entry card","","",""
"**Spec:** `slip-persistence/slip-persistence.spec.ts:56`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @slipPersist @prod","80912","Slip persists through a Rewards tab round-trip","Desktop","2026-09-23","passed","2026-09-23","Slip persistence - navigation and reload","","",""
"**Spec:** `navigation/footer-nav.spec.ts:55`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @navigation @prod","47555","Fifth tab (Free2Play or Packs) routes and takes the indicator","Mobile Safari","2026-09-23","failed","2026-09-23","Bottom nav - tab routing and active indicator","","",""
"**Spec:** `packs/opening-iframe.spec.ts:18`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @packs @staff @smoke","89095","Buy launches the Repackz opening iframe with a close bar","Mobile Safari","2026-09-23","passed","2026-09-23","Packs - opening iframe","","",""
"**Spec:** `transactions/transactions.spec.ts:347`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @transactions @prod","14663","Contest Settled rows credit the payout","Mobile Safari","2026-09-23","skipped","2026-09-23","Transactions - transaction log","","",""
"**Spec:** `theme/dark-mode.spec.ts:75`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @theme @staff","43121","Staff toggle flips the theme, swaps the logo and persists across reload","Desktop","2026-09-23","failed","2026-09-23","Theme - dark mode","","",""
"**Spec:** `entries/entry-card.spec.ts:60`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @entries @prod","33446","Collapsed active card shows the pick-badge preview; expanding hides it","Mobile Safari","2026-09-23","passed","2026-09-23","My Entries - entry card","","",""
"**Spec:** `theme/dark-mode.spec.ts:45`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @theme @staff","24648","Stored ""dark"" preference boots the app dark with the dark logo","Desktop","2026-09-23","passed","2026-09-23","Theme - dark mode","","",""
"**Spec:** `slip-sharing/tail-feed.spec.ts:123`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @tailFeed @mutates @money","72790","Share toggle off keeps a newly placed contest off the You tab","Desktop","2026-09-23","skipped","2026-09-23","Tail feed - share toggle and tailing","","",""
"","5","Confirming cancel twice fires the cancel request only once (double-submit guard)","Desktop","2026-09-23","skipped","2026-09-23","My Entries - cancel entry","","",""
"**Spec:** `modals/userlimits.spec.ts:46`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @userLimit @mutates @smoke","189978","Exceeding the daily entry limit shows the Limit Exceeded modal and Reset Limits clears it","Mobile Safari","2026-09-23","broken","2026-09-23","User Limits - Limit Exceeded Modal","","",""
"**Spec:** `transactions/transactions.spec.ts:204`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @transactions @prod","10594","First page rows mirror the balance-log API — label, date, signed amount, newest first","Mobile Safari","2026-09-23","passed","2026-09-23","Transactions - transaction log","","",""
"**Spec:** `navigation/shell.spec.ts:33`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @navigation @prod","16355","Feed tab sends a logged-out visitor to the free-signup login page","Mobile Chrome","2026-09-23","passed","2026-09-23","Shell - logged-out bottom nav","","",""
"**Spec:** `data-verification/picks-grid.spec.ts:426`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @data-verification @prod","34870","Match selector lists every API match for the default league","Desktop","2026-09-23","skipped","2026-09-23","Data verification - picks grid","","",""
"**Spec:** `slip-sharing/tail-feed.spec.ts:89`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @tailFeed @mutates @money","5745","For You tab renders (empty hero in single-user envs, cards otherwise)","Desktop","2026-09-23","passed","2026-09-23","Tail feed - share toggle and tailing","","",""
"**Spec:** `data-verification/search.spec.ts:172`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @data-verification @prod","17639","Search auto-switches the stat tab to one the searched player offers","Mobile Chrome","2026-09-23","skipped","2026-09-23","Data verification - feed search","","",""
"**Spec:** `signup/signup.spec.ts:50`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @signup @terms","18236","Deeplink with referral pre-populates the coupon field","Mobile Chrome","2026-09-23","passed","2026-09-23","Signup - Entry Points","","",""
"**Spec:** `packs/pack-detail.spec.ts:64`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @packs @staff","21387","Quantity stepper is bounded at 1 and scales the Buy price","Desktop","2026-09-23","skipped","2026-09-23","Packs - pack detail","","",""
"**Spec:** `packs/pack-detail.spec.ts:35`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @packs @staff","14535","Back link returns to the lobby","Mobile Chrome","2026-09-23","passed","2026-09-23","Packs - pack detail","","",""
"**Spec:** `home/home-search.spec.ts:48`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @home @search @prod","41917","A common letter narrows the grid without emptying it","Mobile Safari","2026-09-23","failed","2026-09-23","Home - Feed Search","","",""
"**Spec:** `auth/login.spec.ts:62`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @smoke @prod @critical","3648","User can log in with a valid username","Desktop","2026-09-23","passed","2026-09-23","Login - Valid Credentials","","",""
"**Spec:** `slip-sharing/tail-feed.spec.ts:123`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @tailFeed @mutates @money","53212","Share toggle off keeps a newly placed contest off the You tab","Mobile Chrome","2026-09-23","skipped","2026-09-23","Tail feed - share toggle and tailing","","",""
"**Spec:** `entries/entry-card.spec.ts:119`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @entries @prod","18369","History entry surfaces a Won / Lost / Cancelled result pill","Mobile Chrome","2026-09-23","passed","2026-09-23","My Entries - entry card","","",""
"**Spec:** `navigation/shell-desktop.spec.ts:43`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @desktop @navigation @prod","47159","Logged-out carousel shows the $5 signup entry and the first-deposit match","Desktop","2026-09-23","passed","2026-09-23","Shell - desktop header promo carousel","","",""
"**Spec:** `home/home-search.spec.ts:20`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @home @search @prod @smoke @critical","48746","Gibberish query shows the empty state, clearing restores the grid","Desktop","2026-09-23","passed","2026-09-23","Home - Feed Search","","",""
"**Spec:** `auth/login.spec.ts:39`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @auth","2839","Login page is reachable by direct URL","Mobile Safari","2026-09-23","passed","2026-09-23","Login - Page Rendering","","",""
"**Spec:** `slip-persistence/slip-persistence.spec.ts:83`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @slipPersist @prod","82657","Slip persists through a hard page reload","Desktop","2026-09-23","passed","2026-09-23","Slip persistence - navigation and reload","","",""
"**Spec:** `entries/entries.spec.ts:185`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @entries","23536","Switching from 6 Months to 7 Days never increases the history count","Mobile Chrome","2026-09-23","passed","2026-09-23","My Entries - Active and History","","",""
"**Spec:** `data-verification/search.spec.ts:101`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @data-verification @prod","14549","Searching an API player's full name shows only matching cards","Mobile Safari","2026-09-23","skipped","2026-09-23","Data verification - feed search","","",""
"**Spec:** `transactions/transactions.spec.ts:232`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @transactions @prod","23783","Each type filter requests its category and lists only that category","Mobile Safari","2026-09-23","passed","2026-09-23","Transactions - transaction log","","",""
"**Spec:** `entries/entry-card.spec.ts:60`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @entries @prod","40325","Collapsed active card shows the pick-badge preview; expanding hides it","Desktop","2026-09-23","passed","2026-09-23","My Entries - entry card","","",""
"**Spec:** `entries/entry-card.spec.ts:80`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @entries @prod","49566","History cards never render the pick-badge preview","Mobile Safari","2026-09-23","passed","2026-09-23","My Entries - entry card","","",""
"**Spec:** `auth/login.spec.ts:154`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @auth","36214","Login is rejected with both fields empty","Mobile Chrome","2026-09-23","passed","2026-09-23","Login - Invalid Credentials","","",""
"**Spec:** `auth/login.spec.ts:222`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @auth @smoke @prod @critical","18262","Logged-in user can log out","Desktop","2026-09-23","passed","2026-09-23","Login - Logout Flow","","",""
"**Spec:** `auth/login.spec.ts:206`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @auth","2742","Unauthenticated user sees the Join Now button on home","Mobile Chrome","2026-09-23","passed","2026-09-23","Login - Navigation","","",""
"**Spec:** `signup/signup.spec.ts:94`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @signup","30626","Form accepts valid data in all fields","Mobile Safari","2026-09-23","passed","2026-09-23","Signup - Form Fields","","",""
"**Spec:** `data-verification/search.spec.ts:142`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @data-verification @prod","9808","Searching a team abbreviation shows that team's players","Mobile Chrome","2026-09-23","skipped","2026-09-23","Data verification - feed search","","",""
"**Spec:** `navigation/shell.spec.ts:53`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @navigation @prod","4309","Unknown route renders the 404 page","Mobile Chrome","2026-09-23","passed","2026-09-23","Shell - system pages","","",""
"**Spec:** `auth/login.spec.ts:39`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @auth","1923","Login page is reachable by direct URL","Desktop","2026-09-23","passed","2026-09-23","Login - Page Rendering","","",""
"**Spec:** `navigation/shell.spec.ts:33`

**Project:** Mobile Safari · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @navigation @prod","41763","Rewards tab sends a logged-out visitor to the free-signup login page","Mobile Safari","2026-09-23","passed","2026-09-23","Shell - logged-out bottom nav","","",""
"**Spec:** `transactions/transactions.spec.ts:347`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @transactions @prod","5068","Contest Settled rows credit the payout","Mobile Chrome","2026-09-23","skipped","2026-09-23","Transactions - transaction log","","",""
"**Spec:** `theme/dark-mode.spec.ts:131`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @theme","18039","Toggle visibility matches the staff gate for the logged-in user","Mobile Chrome","2026-09-23","passed","2026-09-23","Theme - dark mode","","",""
"**Spec:** `transactions/transactions.spec.ts:232`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @transactions @prod","14209","Each type filter requests its category and lists only that category","Desktop","2026-09-23","passed","2026-09-23","Transactions - transaction log","","",""
"**Spec:** `navigation/legal.spec.ts:41`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @navigation @legal @prod","17465","Signup Class Action Waiver link opens the Terms document at #class-action","Desktop","2026-09-23","passed","2026-09-23","Legal - policy documents","","",""
"**Spec:** `signup/signup.spec.ts:32`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @signup @terms","21844","Header ""Join Now"" opens Terms page","Mobile Chrome","2026-09-23","passed","2026-09-23","Signup - Entry Points","","",""
"**Spec:** `entries/entry-card.spec.ts:39`

**Project:** Desktop · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @entries @prod","38505","Active card shows the entry amount, payout and Insured/All In multiplier","Desktop","2026-09-23","passed","2026-09-23","My Entries - entry card","","",""
"**Spec:** `transactions/transactions.spec.ts:276`

**Project:** Mobile Chrome · **Env:** staging · **Release:** release-45.1

**User:** default (qa***)

**Tags:** @transactions @prod","10748","Switching month reloads the log for that month","Mobile Chrome","2026-09-23","passed","2026-09-23","Transactions - transaction log","","",""
